249,point,指出 / (n) 重點
250,tap,輕拍
251,wake,(v) 起床 喚醒
252,need,需要
253,open,打開
254,close,關閉 / (adj) 靠近
255,die,死
256,wait,等待
257,want,想要
258,try,嘗試
259,cry,哭 / 喊叫
260,shout,喊叫
261,think,想 思考 (n) 想法
262,follow,跟隨
263,guess,(v)(n) 猜
264,happen,發生
265,thank,感謝
266,worry,擔心
267,save,救 / 節約
268,set,設置 / 安裝
269,have,有
270,do,做 / 助動詞
271,healthy,健康的
272,unhealthy,不健康的
273,ill,生病的
274,sick,生病的 噁心的
275,well,恢復健康 好地
276,illness,疾病
277,matter,事情
278,body,身體
279,part,部份 / 零件
280,face,臉
281,skin,皮膚
282,eye,眼睛
283,ear,耳朵
284,mouth,嘴巴
285,nose,鼻子
286,hair,頭髮
287,straight hair,直髮
288,curly,捲髮
289,wavy,波浪捲髮
290,blond,金髮
291,haircut,剪髮
292,shoulder,肩膀
293,neck,脖子
294,back,背 背面
295,front,前面
296,arm,手臂
297,elbow,手肘
298,hands,手
299,head,頭
300,finger,手指
301,leg,腿
302,knee,膝蓋
303,foot,腳
304,toe,腳趾
305,tooth,牙齒
306,beard,鬍子 絡腮鬍
307,fever,發燒
308,cold,感冒 / (adj) 冷的
309,headache,頭痛
310,stomachache,胃痛
311,stomach,胃
312,hurt,受傷
313,top,頂端 / 陀螺
314,bottom,底部
315,wear,穿戴
316,clothes,(複數)衣服
317,size,尺寸
318,large/medium/small,大/中/小(尺寸)
319,price,價格
320,type,(n) 種類 / (v) 打字
321,kind,(n) 種類
322,accessories,配件(複數)
323,costume,戲服
324,uniform,制服
325,mask,面具
326,hat,帽子
327,cap,棒球帽 蓋子
328,helmet,安全帽 頭盔
329,scarf,圍巾
330,tie,領帶 / (v) 繫上
331,necklace,項鍊
332,earrings,耳環(複數)
333,ring,戒指
334,bracelet,手環
335,jewelry,珠寶
336,glasses,眼鏡
337,glove,手套
338,pocket,口袋
339,wallet,皮夾
340,zipper,拉鍊
341,belt,皮帶
342,dress,洋裝
343,shirt,襯衫
344,T-shirt,T恤
345,skirt,裙子
346,towel,毛巾
347,coat,外套
348,jacket,夾克
349,sweater,毛衣
350,vest,背心
351,shorts,短褲
352,pants,褲子
353,jeans,牛仔褲
354,underwear,內衣
355,swimsuit,泳裝
356,suit,套裝 (v) 使適合
357,raincoat,雨衣
358,pair,一對 / 一雙 (p...)
359,socks,短襪
360,shoes,鞋子
361,sneakers,球鞋
362,boots,靴子
363,slippers,拖鞋
364,sandals,涼鞋
365,umbrella,雨傘
366,blanket,毯子
367,cotton,棉花
368,silk,絲
369,wash,(v) 清洗
370,do laundry,洗衣
371,iron,鐵 / 熨斗 (v) 燙平
372,occupation,職業
373,job,工作
374,teacher,老師
375,student,學生
376,doctor,(Dr.) 醫生 / 博士
377,nurse,護士
378,clerk,職員
379,shopkeeper,店員
380,businessman,商人
381,painter,畫家 / 油漆工
382,paint,(v) 畫畫 / 油漆 (n) 顏料
383,farmer,農夫
384,farm,農場
385,designer,設計師
386,design,(v) (n) 設計
387,worker,工人 員工
388,work,(v) 工作
389,server,服務生(s.....)
390,waiter,服務生(w.....)
391,serve,(v) 伺候
392,service,(n) 服務
393,singer,歌手
394,sing,(v) 唱歌
395,reporter,記者 報告員
